Nodi usati: genoa[008-009]
=== SCATTER ALGORITHM 0 ===
128, 512, 22.61
128, 1024, 42.60
128, 2048, 80.63
128, 4096, 160.44
128, 8192, 428.90
128, 16384, 880.83
128, 32768, 1702.21
128, 65536, 3208.53
128, 131072, 6340.66
128, 262144, 11054.56
=== SCATTER ALGORITHM 3 ===
2, 2, 0.11
2, 4, 0.11
2, 8, 0.12
2, 16, 0.11
2, 32, 0.12
2, 64, 0.12
2, 128, 0.15
2, 256, 0.17
2, 512, 0.18
2, 1024, 0.21
2, 2048, 0.27
2, 4096, 0.46
2, 8192, 0.74
2, 16384, 3.88
2, 32768, 4.23
2, 65536, 5.40
2, 131072, 8.39
2, 262144, 14.98
4, 2, 0.13
4, 4, 0.12
4, 8, 0.12
4, 16, 0.13
4, 32, 0.14
4, 64, 0.15
4, 128, 0.20
4, 256, 0.23
4, 512, 0.25
4, 1024, 0.34
4, 2048, 0.56
4, 4096, 1.00
4, 8192, 1.42
4, 16384, 6.49
4, 32768, 8.93
4, 65536, 11.54
4, 131072, 22.76
4, 262144, 40.51
8, 2, 0.67
8, 4, 0.69
8, 8, 0.66
8, 16, 0.66
8, 32, 0.84
